Date,Open,High,Low,Close,Volume
2002-08-01,11764,11778,11764,11778,0
2002-08-02,11778,11778,11775,11775,0
2002-08-03,11775,11775,11775,11775,0
2002-08-04,11775,11775,11775,11775,0
2002-08-05,11775,11796,11775,11796,0
2002-08-06,11796,11805,11796,11805,0
2002-08-07,11805,11835,11805,11835,0
2002-08-08,11835,11837,11835,11837,0
2002-08-09,11837,11851,11837,11851,0
2002-08-10,11851,11851,11851,11851,0
2002-08-11,11851,11851,11851,11851,0
2002-08-12,11851,11851,11850,11850,0
2002-08-13,11850,11865,11850,11865,0
2002-08-14,11865,11865,11845,11845,0
2002-08-15,11845,11845,11845,11845,0
2002-08-16,11845,11884,11845,11884,0
2002-08-17,11884,11884,11884,11884,0
2002-08-18,11884,11884,11884,11884,0
2002-08-19,11884,11892,11884,11892,0
2002-08-20,11892,11917,11892,11917,0
2002-08-21,11917,11944,11917,11944,0
2002-08-22,11944,12004,11944,12004,0
2002-08-23,12004,12037,12004,12037,0
2002-08-24,12037,12037,12037,12037,0
2002-08-25,12037,12037,12037,12037,0
2002-08-26,12037,12057,12037,12057,0
2002-08-27,12057,12057,11971,11971,0
2002-08-28,11971,11978,11971,11978,0
2002-08-29,11978,12098,11978,12098,0
2002-08-30,12098,12098,12063,12063,0
2002-08-31,12063,12063,12063,12063,0
2002-09-01,12063,12063,12063,12063,0
2002-09-02,12063,12063,12031,12031,0
2002-09-03,12031,12034,12031,12034,0
2002-09-04,12034,12180,12034,12180,0
2002-09-05,12180,12214,12180,12214,0
2002-09-06,12214,12214,12213,12213,0
2002-09-07,12213,12213,12213,12213,0
2002-09-08,12213,12213,12213,12213,0
2002-09-09,12213,12213,12176,12176,0
2002-09-10,12176,12176,12166,12166,0
2002-09-11,12166,12168,12166,12168,0
2002-09-12,12168,12168,12149,12149,0
2002-09-13,12149,12223,12149,12223,0
2002-09-14,12223,12223,12223,12223,0
2002-09-15,12223,12223,12223,12223,0
2002-09-16,12223,12253,12223,12253,0
2002-09-17,12253,12253,12221,12221,0
2002-09-18,12221,12221,12221,12221,0
2002-09-19,12221,12221,12221,12221,0
2002-09-20,12221,12221,12196,12196,0
2002-09-21,12196,12196,12196,12196,0
2002-09-22,12196,12196,12196,12196,0
2002-09-23,12196,12196,12170,12170,0
2002-09-24,12170,12224,12170,12224,0
2002-09-25,12224,12224,12194,12194,0
2002-09-26,12194,12265,12194,12265,0
2002-09-27,12265,12265,12264,12264,0
2002-09-28,12264,12264,12264,12264,0
2002-09-29,12264,12264,12264,12264,0
2002-09-30,12264,12275,12264,12275,0
2002-10-01,12275,12275,12213,12213,0
2002-10-02,12213,12213,12206,12206,0
2002-10-03,12206,12234,12206,12234,0
2002-10-04,12234,12249,12234,12249,0
2002-10-05,12249,12249,12249,12249,0
2002-10-06,12249,12249,12249,12249,0
2002-10-07,12249,12249,12246,12246,0
2002-10-08,12246,12269,12246,12269,0
2002-10-09,12269,12291,12269,12291,0
2002-10-10,12291,12306,12291,12306,0
2002-10-11,12306,12306,12299,12299,0
2002-10-12,12299,12299,12299,12299,0
2002-10-13,12299,12299,12299,12299,0
2002-10-14,12299,12299,12279,12279,0
2002-10-15,12279,12292,12279,12292,0
2002-10-16,12292,12292,12281,12281,0
2002-10-17,12281,12288,12281,12288,0
2002-10-18,12288,12288,12277,12277,0
2002-10-19,12277,12277,12277,12277,0
2002-10-20,12277,12277,12277,12277,0
2002-10-21,12277,12286,12277,12286,0
2002-10-22,12286,12286,12252,12252,0
2002-10-23,12252,12267,12252,12267,0
2002-10-24,12267,12267,12249,12249,0
2002-10-25,12249,12255,12249,12255,0
2002-10-26,12255,12255,12255,12255,0
2002-10-27,12255,12255,12255,12255,0
2002-10-28,12255,12255,12244,12244,0
2002-10-29,12244,12248,12244,12248,0
2002-10-30,12248,12254,12248,12254,0
2002-10-31,12254,12256,12254,12256,0
2002-11-01,12256,12256,12256,12256,0
2002-11-02,12256,12256,12256,12256,0
2002-11-03,12256,12256,12256,12256,0
2002-11-04,12256,12256,12251,12251,0
2002-11-05,12251,12251,12250,12250,0
2002-11-06,12250,12285,12250,12285,0
2002-11-07,12285,12285,12266,12266,0
2002-11-08,12266,12266,12262,12262,0
2002-11-09,12262,12262,12262,12262,0
2002-11-10,12262,12262,12262,12262,0
2002-11-11,12262,12262,12257,12257,0
2002-11-12,12257,12268,12257,12268,0
2002-11-13,12268,12268,12263,12263,0
2002-11-14,12263,12282,12263,12282,0
2002-11-15,12282,12282,12253,12253,0
2002-11-16,12253,12253,12253,12253,0
2002-11-17,12253,12253,12253,12253,0
2002-11-18,12253,12277,12253,12277,0
2002-11-19,12277,12277,12254,12254,0
2002-11-20,12254,12254,12241,12241,0
2002-11-21,12241,12249,12241,12249,0
2002-11-22,12249,12249,12238,12238,0
2002-11-23,12238,12238,12238,12238,0
2002-11-24,12238,12238,12238,12238,0
2002-11-25,12238,12278,12238,12278,0
2002-11-26,12278,12278,12244,12244,0
2002-11-27,12244,12248,12244,12248,0
2002-11-28,12248,12248,12211,12211,0
2002-11-29,12211,12211,12185,12185,0
2002-11-30,12185,12185,12185,12185,0
2002-12-01,12185,12185,12185,12185,0
2002-12-02,12185,12189,12185,12189,0
2002-12-03,12189,12189,12153,12153,0
2002-12-04,12153,12195,12153,12195,0
2002-12-05,12195,12228,12195,12228,0
2002-12-06,12228,12228,12222,12222,0
2002-12-07,12222,12222,12222,12222,0
2002-12-08,12222,12222,12222,12222,0
2002-12-09,12222,12222,12216,12216,0
2002-12-10,12216,12243,12216,12243,0
2002-12-11,12243,12243,12237,12237,0
2002-12-12,12237,12237,12206,12206,0
2002-12-13,12206,12206,12203,12203,0
2002-12-14,12203,12203,12203,12203,0
2002-12-15,12203,12203,12203,12203,0
2002-12-16,12203,12242,12203,12242,0
2002-12-17,12242,12242,12219,12219,0
2002-12-18,12219,12219,12207,12207,0
2002-12-19,12207,12220,12207,12220,0
2002-12-20,12220,12220,12218,12218,0
2002-12-21,12218,12218,12218,12218,0
2002-12-22,12218,12218,12218,12218,0
2002-12-23,12218,12218,12209,12209,0
2002-12-24,12209,12220,12209,12220,0
2002-12-25,12220,12220,12220,12220,0
2002-12-26,12220,12220,12220,12220,0
2002-12-27,12220,12254,12220,12254,0
2002-12-28,12254,12254,12254,12254,0
2002-12-29,12254,12254,12254,12254,0
2002-12-30,12254,12254,12220,12220,0
2002-12-31,12220,12266,12220,12266,0
2003-01-01,12266,12266,12266,12266,0
2003-01-02,12266,12283,12266,12283,0
2003-01-03,12283,12299,12283,12299,0
2003-01-04,12299,12299,12299,12299,0
2003-01-05,12299,12299,12299,12299,0
2003-01-06,12299,12299,12265,12265,0
2003-01-07,12265,12265,12261,12261,0
2003-01-08,12261,12273,12261,12273,0
2003-01-09,12273,12284,12273,12284,0
2003-01-10,12284,12302,12284,12302,0
2003-01-11,12302,12302,12302,12302,0
2003-01-12,12302,12302,12302,12302,0
2003-01-13,12302,12313,12302,12313,0
2003-01-14,12313,12313,12311,12311,0
2003-01-15,12311,12352,12311,12352,0
2003-01-16,12352,12352,12340,12340,0
2003-01-17,12340,12368,12340,12368,0
2003-01-18,12368,12368,12368,12368,0
2003-01-19,12368,12368,12368,12368,0
2003-01-20,12368,12376,12368,12376,0
2003-01-21,12376,12383,12376,12383,0
2003-01-22,12383,12399,12383,12399,0
2003-01-23,12399,12407,12399,12407,0
2003-01-24,12407,12407,12400,12400,0
2003-01-25,12400,12400,12400,12400,0
2003-01-26,12400,12400,12400,12400,0
2003-01-27,12400,12427,12400,12427,0
